title,brand,candidate_public_url,source_type,edition_match,verified,notes
Bridgestone-OTR-DataBook-2024.pdf,Bridgestone,https://commercial.bridgestone.com/content/dam/connectedassets/enterprise/commercial/web-assets/global/pdfs/load-and-inflation-tables/pdf-202410-databook-bridgestone-otr-web-commercial.pdf,official,likely,no,Official Bridgestone commercial; filename dated 202410 (2024). Confirm it is the OTR earthmover databook not truck.
Bridgestone-OTR-DataBook-2018.pdf,Bridgestone,https://commercial.bridgestone.com/content/dam/bcs-sites/bridgestone-ex/products/Databooks/Archive/Bridgestone-OTR-Databook-2018-09-06-2018.pdf,official,yes,yes,Official commercial archive; live PDF confirmed (Sam doc + link check).
Michelin-Earthmover-Technical-DataBook-2019.pdf,Michelin,https://www.michelinb2b.com/wps/b2bcontent/OHT/EMDataBook_Global_E.pdf,official,yes,yes,Official Michelin B2B; June 2019 Global E; live PDF confirmed.
Michelin-Caterpillar-OEM-DataBook.pdf,Michelin,,none,,no,Not yet researched.
Michelin-Earthmover-Product-Catalogue-Construction-Mining-Quarry.pdf,Michelin,,none,,no,Not yet researched; likely on michelinearthmover.com.
Michelin-Ag-DataBook.pdf,Michelin,,none,,no,Not yet researched.
Michelin-Ag-Technical-DataBook-2020.pdf,Michelin,,none,,no,Not yet researched.
Goodyear-OTR-Specialty-Catalogue.pdf,Goodyear,http://www.goodyearotr.com/cfmx/web/otr/brochures/pdf/off_the_road_tires.pdf,official,verify,no,Official goodyearotr.com (http). This is the OTR engineering data book - confirm it equals the Specialty Catalogue we hold.
Yokohama-OTR-DataBook.pdf,Yokohama,https://www.y-yokohama.com/global/product/tire/pdf/tires/catalogue/OR_HB02.pdf,official,verify,no,Official Yokohama global OTR handbook; confirm edition matches.
Yokohama-Construction-Mining-Radial-2021.pdf,Yokohama,,none,,no,Not yet researched; likely on yokohama-oht.com.
Yokohama-ATG-Full-Catalogue-2025.pdf,Yokohama,,none,,no,Not yet researched; ATG/Yokohama-OHT.
Titan-OTR-Databook-2024.pdf,Titan,https://www.titan-intl.com/-/media/Vol-11-OTR-Tires-Databook-01032024-LOWRES.pdf,official,yes,yes,Official Titan; Vol 11 (2024); live PDF confirmed.
